id,text,original_label,label,question,A,B,C,D,E,F
731,European Space Agency,"['0', '0', '0', '2', '0', '0']","[0.0, 0.0, 0.0, 1.0, 0.0, 0.0]","After reading this news articles, the readers may feel ",angry.,disgust.,fear.,joy.,sadness.,surprise.
872,US to prod NATO allies for more troops to defeat Taliban,"['20', '15', '47', '0', '21', '0']","[0.1941747572815534, 0.14563106796116504, 0.4563106796116505, 0.0, 0.20388349514563106, 0.0]","After reading this news articles, the readers may feel ",angry.,disgust.,fear.,joy.,sadness.,surprise.
1262,Full details of the EU report on Iran,"['6', '0', '14', '12', '11', '16']","[0.1016949152542373, 0.0, 0.23728813559322035, 0.2033898305084746, 0.1864406779661017, 0.2711864406779661]","After reading this news articles, the readers may feel ",angry.,disgust.,fear.,joy.,sadness.,surprise.
765,Philippine president welcomes Senate approval of anti-terror bill ,"['2', '0', '10', '54', '4', '3']","[0.0273972602739726, 0.0, 0.136986301369863, 0.7397260273972602, 0.0547945205479452, 0.0410958904109589]","After reading this news articles, the readers may feel ",angry.,disgust.,fear.,joy.,sadness.,surprise.
1394,U.S. gunman 'was Srebrenica survivor',"['7', '9', '14', '12', '18', '27']","[0.08045977011494253, 0.10344827586206896, 0.16091954022988506, 0.13793103448275862, 0.20689655172413793, 0.3103448275862069]","After reading this news articles, the readers may feel ",angry.,disgust.,fear.,joy.,sadness.,surprise.
821,Personal health: the importance of knowing what the doctor is talking about,"['0', '0', '14', '0', '9', '6']","[0.0, 0.0, 0.4827586206896552, 0.0, 0.3103448275862069, 0.20689655172413793]","After reading this news articles, the readers may feel ",angry.,disgust.,fear.,joy.,sadness.,surprise.
1122,China denies reports of North Korean apology,"['13', '3', '11', '0', '20', '23']","[0.18571428571428572, 0.04285714285714286, 0.15714285714285714, 0.0, 0.2857142857142857, 0.32857142857142857]","After reading this news articles, the readers may feel ",angry.,disgust.,fear.,joy.,sadness.,surprise.
557,Cheney to Congress: Can't run Iraq war by committee,"['47', '4', '26', '0', '21', '6']","[0.4519230769230769, 0.038461538461538464, 0.25, 0.0, 0.20192307692307693, 0.057692307692307696]","After reading this news articles, the readers may feel ",angry.,disgust.,fear.,joy.,sadness.,surprise.
512,Defense to challenge Russert's credibility,"['4', '5', '0', '0', '0', '19']","[0.14285714285714285, 0.17857142857142858, 0.0, 0.0, 0.0, 0.6785714285714286]","After reading this news articles, the readers may feel ",angry.,disgust.,fear.,joy.,sadness.,surprise.
1233,'Cagney & Lacey' finally coming to DVD,"['0', '0', '0', '47', '0', '22']","[0.0, 0.0, 0.0, 0.6811594202898551, 0.0, 0.3188405797101449]","After reading this news articles, the readers may feel ",angry.,disgust.,fear.,joy.,sadness.,surprise.
770,Iran's boast on uranium enrichment is put to test,"['8', '5', '62', '0', '3', '18']","[0.08333333333333333, 0.052083333333333336, 0.6458333333333334, 0.0, 0.03125, 0.1875]","After reading this news articles, the readers may feel ",angry.,disgust.,fear.,joy.,sadness.,surprise.
1426,Latest updates on world's top stories,"['0', '0', '2', '0', '0', '2']","[0.0, 0.0, 0.5, 0.0, 0.0, 0.5]","After reading this news articles, the readers may feel ",angry.,disgust.,fear.,joy.,sadness.,surprise.
948,Families celebrate return of sons,"['0', '0', '2', '84', '6', '14']","[0.0, 0.0, 0.018867924528301886, 0.7924528301886793, 0.05660377358490566, 0.1320754716981132]","After reading this news articles, the readers may feel ",angry.,disgust.,fear.,joy.,sadness.,surprise.
1299,Who's going to win at the Grammys?,"['0', '0', '1', '31', '0', '20']","[0.0, 0.0, 0.019230769230769232, 0.5961538461538461, 0.0, 0.38461538461538464]","After reading this news articles, the readers may feel ",angry.,disgust.,fear.,joy.,sadness.,surprise.
1409,Pound will not drop Armstrong case,"['9', '0', '4', '5', '3', '9']","[0.3, 0.0, 0.13333333333333333, 0.16666666666666666, 0.1, 0.3]","After reading this news articles, the readers may feel ",angry.,disgust.,fear.,joy.,sadness.,surprise.
952,Nadal wants Australian Open crown,"['0', '0', '0', '21', '0', '0']","[0.0, 0.0, 0.0, 1.0, 0.0, 0.0]","After reading this news articles, the readers may feel ",angry.,disgust.,fear.,joy.,sadness.,surprise.
711,Pats' fourth-quarter rally finishes Chargers,"['0', '0', '0', '35', '5', '6']","[0.0, 0.0, 0.0, 0.7608695652173914, 0.10869565217391304, 0.13043478260869565]","After reading this news articles, the readers may feel ",angry.,disgust.,fear.,joy.,sadness.,surprise.
