article_id,title,comment_counter,comment_text
32374332,Tempest in a yeast pot: Britain has stickier problems than Marmite,source1_32374332_24,Switch to Vegemite - it's much nicer!
25210665,How Ernestine showed me the road to reconciliation,source1_25210665_1,We all owe Manning a debt for his role in ending the Tory dynasty in Alberta when he secretly arranged the marriage of Conservative and Wildrose MLAs. This little act of subterfuge revealed a back room broker Extrodinaire.
25098464,A two-pronged strategy for NATO's dealings with Russia,source1_25098464_0,Maybe NATO should try the Voodoo doll method with the image of Putin and stick pins into it....?
17631767,Ukrainian crisis strengthens Harper's case for keeping Putin out of the club,source1_17631767_2,Harper is ridiculous and irrelevant to Russia. The balance of power is shifting. Russia doesn't care what others think.
20712228,"With Minecraft, I'm not just playing a game, I've entered a secret society",source1_20712228_3,It is ALWAYS the right time to discuss the difference between ?literally? and ?figuratively.?
31077420,"In an Us vs. Them world, can empathy really help?",source1_31077420_12,"gee, and i thought empathy was what we all have BEFORE the mind kicks in with its thoughts, concepts, beliefs, ideals, and all the luggage that we received from the past and the drivel we hear from across the table. who knew?"
24731318,Adventures in academia: The stuff of fiction,source1_24731318_19,"But surely today's liberal arts students need to study this beautiful yet brutal social mosaic, so they can graduate and are better prepared to ask the inevitable question in the real world 'would you like fries with that.'."
28820464,First Nations students need more than policy advice,source1_28820464_1,best education involves getting off and staying off the Reserve.
6873631,Does Catholics Come Home campaign have a prayer?,source1_6873631_56,"The rate of congregants leaving the catholic church aligns with increasing education levels. Ancient corrupt organizations will come to pass in the modern world, replaced now with banks, and later something else, to control the masses."
27637529,House sitter to House Leader: Meet Trudeau's fixer,source1_27637529_8,EI the second largest equalization dollars given to the Maritimes especially New Brunswick. Brought to you by Romeo and continued on by the liberals. That's why they vote red. 9 weeks work and I can play with my 4 wheeler the rest of the year.
24002162,The Soviet Union didn't die,source1_24002162_26,"Great analysis. Putin is a Communist and Russian imperialistic roots run deep. He wants to reform the Soviet union and be President for life. If he regains the Ukraine, the Baltic states and Poland are next."
21565909,"China, the U.S. and climate change: Yes, this is a really, really big deal",source1_21565909_31,Guess we'll see by 2030 whether China in fact DOES reduce any emissions. Always easy to promise things for the fuure. Especially as none of the signatories would be in power then.
12846224,A German lesson in flood relief efficiency,source1_12846224_14,Excellent. The Germans could teach us a lot if we were not so arrogant and realized that rugged individualism has it's place but it's often not the right approach.
29405071,We should have shown more compassion for Rob Ford - while he was alive,source1_29405071_122,The degree of hate exhibited here is frightening.
28223696,Cologne assaults revealed hazards of closed borders and vague policy,source1_28223696_31,"'Nobody thought that this challenge would arise in the first hours of 2016, or in such a distasteful and politically loaded way.'Sexual assault not 'distasteful;' it is outrageous. What a pathetic and weaselly attempt to downplay these attacks."
17790401,"Far from protecting women, a secular charter would increase discrimination",source1_17790401_6,"Islam sucks. Keep it out of my previously nice country please. This isn't a Muslim country anyway, or maybe you'd prefer to be a Muslim country. Britain is almost there."
21519254,Why did Harper go to China? The ethnic vote. And money,source1_21519254_18,Yeah! He sold out to the almighty $! Vote him out next year!
30020390,We're No. 2! And that's pretty darn good,source1_30020390_23,Number 2 must represent the quantity of movies available on 'Canadian' Netflix.
30310387,Ontario cabinet minister stepping down for gender parity,source1_30310387_2,Wrong minister to step down. Should have been Glen 'Climate Change' Murray.
25210665,How Ernestine showed me the road to reconciliation,source1_25210665_15,How about we try something novel and concentrate on the message rather than Mr. Manning's personal and political life?
25993969,"Get your mailbox off my lawn, Canada Post",source1_25993969_49,Why do some people get home delivery and others do not? I have to go to the post office to get my mail. I cannot see what is so wrong with others having to do the same. If people talk about saving home delivery how about offering it to everyone?
22458385,It's time to confront 'the cancer of extremism',source1_22458385_7,What a laugh. Two people discussing the relative legitimacy of two competing fairy tales.
27607352,"Elves on shelves, destroyers of Christmas magic",source1_27607352_0,"The Elf on a Shelf has always been a creepy idea, IMHO."
18592759,Why are Canadian prices so high?,source1_18592759_2,"Try there reasons.... fuel prices nearly double, sales taxes double, exchange rates ( yes cupcake the cad is worth less and business is not will to bet it will be less risky), rental space 30% costlier and the list goes on....."
9237644,"A senator's life, it seems, is but a dream",source1_9237644_5,"Fraud, fraud, fraud, it's as simple as that. Now resign, as that's the only way you'll retain some respect."
33111770,Forget Fidel Castro: Raul is running the show,source2_33111770_5,If trump rescinds obama's Cuban policy does that prove that yin will always create or require a yang in the Taoist balance of politics?
27501155,"As Paris looms, my psyche's twin fears collide",source1_27501155_8,If the author truly feels personally existentially threatened by global warming and terrorism every time she leaves the house the appropriate response would be to call a psychologist.
7893207,A few things Rob Ford should do with his second chance,source1_7893207_7,"Ford views this decision as some resounding endorsement of his two dimensional, populist 'agenda' so nothing will changeIt's dumb luck...'Tommy Boy' cut an ace."
31753065,The boldness of a king's speech,source1_31753065_1,"A King, who shows care and genuine concern for his people but also for those outside his kingdom. A King, who believes he has a moral obligation to speak out. Rare, indeed."
20737149,New Brunswick's election has a message for national leaders,source1_20737149_0,"'...a modest 6 seat majority...'Nonsense. Spin. There are only 49 seats. Not only are they split 27-21, but the Green Party took the other seat. It was also a popular vote drubbing."
12690446,Montreal and Toronto need a new breed of mayor,source1_12690446_1,The blocked comments on the Applebaum quarter million severance payout just serves to make everyone more cynical. This is tragic. Just when cynicism is most dangerous.
21745050,Ten key legal points of the Ferguson verdict,source1_21745050_31,I'm sure the officer was just being tough on crime. That defense justifies any lunacy in Canada.
19653109,Can't find a psychiatrist? Here's why,source1_19653109_4,Get some pills and get turned into a 'zombie'. This way you aren't such a bother.
25066933,Tit-for-tat partisan ad groups are a low point in Canadian democracy,source1_25066933_21,"The PAC approval by the U.S. Supreme Court was a travesty for democracy. Their use in Canada is an obscene mimicking of a tragic US mistake. If the Harper government is so intent on 11th hour legislation, why not outlaw PACs?"
17612092,Advice for a new finance minister,source1_17612092_12,How about paying down our DEBT !
32037552,"For Butts and Telford, hindsight is 20/20, and also convenient",source1_32037552_41,"Wise up Canada ...this thief's access to Ontario was not enough (Butts), now he plans to pilage the rest of the country now that Ontario is bankrupt,,,,what pure entitled scum"
16758865,Why the hurry to pass the Fair Elections Act?,source1_16758865_0,You endorsed Steve despite your own concerns about his predilections to sailing close to the wind. You share responsibility for what he has done since.
23570842,"That's the power of protest. Or at least, it is for now",source1_23570842_13,"Well, watch for the onslaught of new prison camps. Where will they put all of us?"
19155484,Wynne has won Ontario's trust. Now she faces tough choices,source1_19155484_81,"Bob, the provincial conservatives need a leader, now's your chance to abandon another party and accumulate even further pension from other people's taxes."
17925198,"Goodbye to Jim Flaherty, the little giant",source1_17925198_2,"Why did the Conservatives choose the likes of Mike Harris, Ernie Eves and Stephen Harper, rather than Flaherty, whose qualities appear unmatched, as party leaders?"
30029924,Brace yourselves: Trump is going to win,source1_30029924_123,They have a 50/50 chance of getting it right
25404609,Western Canada: In the line of fire,source1_25404609_12,Russia's a big forested nation which has had its share of wildfire tragedy but also has more control.
8910487,Quebec's language inspectors over-sauce the pasta,source1_8910487_10,Face it. The lunatics have taken over the asylum!
10365821,A Page the Conservatives will happily turn,source1_10365821_5,The one good thing the fake Conservatives did for CanadaThey however consider it a mistake.
29546188,"As Quebec tackles corruption, where are the other provinces?",source1_29546188_7,Want big governmentGet big corruption
28766420,Scalia didn't score the touchdowns. He redefined the playing field,source1_28766420_10,I don't think the Republicans care if they are seen as obstructionist. They have made co-operation with the Democrats and President Obama so toxic that they can't be seen now to be giving in.
21598196,At least the politicians will breathe easier after the climate deal,source1_21598196_9,Wow. What a tough negotiator Obama is ! US will cut its CO2 emissions while China will be increasing them. This will save the planet.
24455251,Why university should be universal,source1_24455251_58,As long as Harper is in power and only puts poor economic policies in place that mainly cater to the elderly and well off we will never move forward with a more progressive society.
10947253,Don't discount Trudeau's flair for the stage,source1_10947253_69,It is difficult to measure the decibel level for this actor.
32064894,Justin Trudeau: climate denier?,source1_32064894_57,"'It was Mission Impossible from the start.'================A climate denier if ever there was one. So brace yourselves Canada, for pipelines, pipelines, pipelines."
29625215,Money & politics (4): It's business as usual in Saskatchewan,source1_29625215_0,How come you did not mention donations by unions as well?
6994760,IRS wants Canada to nab U.S. tax cheats: Why we should care,source1_6994760_40,"I am a nurse, got a quote from an accountant to comply with FATCA in the amount of $8,000. So we are being screwed my the US and canadian accountants!"
25404333,"Register your imam, senators say",source1_25404333_9,"Sounds like a job for Harper's religious freedomCzar, can't imagine he has anything better to do"
22104402,We're still picking up Dick Cheney's pieces,source1_22104402_57,"The 'root causes' crowd have a stuffy, pompous fan in Simpson who finds himself making common cause with the fringe preachers who classify the Americans (from Harry Truman to the present) as 'war criminals'."
16010171,Canada's oil will have to move somehow,source1_16010171_9,Canada's oil will have to move... why is that?
26535057,The all-purpose public apology,source1_26535057_15,"Justin used the term 'old stock' in 2007, during an interview with the community weekly Nouvelles Parc-Extension.Surprising that Justin would be 'throwing rocks' at Harper when Harper uses the term."
33393571,Make America Great Again meets Make China Great Again,source2_33393571_24,"I, for one, welcome our new Chinese overlords."
24698136,Taxpayers take the hardest hit from attack ads,source1_24698136_20,We are seniors and conservatives and do not vote for any party that has low class poisonous TV or Radio ads. Are they desperate or something perhaps?
26439616,The campaign quest for an economic narrative,source1_26439616_1,The narrative is that Harper is like the room mate who keeps the bathroom clean but irritates in a multitude of other ways. The lease is up for renewal and here is your chance to get rid of him
7824635,"Here in Canada, we have our own gun madness",source1_7824635_12,"I prefer the American model of shooting back at scum that shoots at my family or myself. Its too bad Canadians have become so spineless. Oh Yes call 911, that will save you."
9968236,"Britain faces a triple whammy of debt, EU and Scots",source1_9968236_9,"Gotta say it, but the British never learned the lessons of socialism and mass immigration. I'm afraid we are headed in the same direction with all our socialist parties, the conservatives included."
8969082,Comedian Mary Walsh on Senate reform,source1_8969082_4,I would rather reform the CBC than the Senate. The crimes of the senators seem paltry compared to the waste at Mother Corp.
